CODIGO,ORIGEN,DESTINO,PRECIO,AVION
VR001,Guayaquil,Quito,125,A320
VR002,Cuenca,Quito,115,A319
VR003,Manta,Quito,135,B737
VR004,Portoviejo,Quito,130,A320
VR005,Loja,Quito,120,A319
VR006,Ambato,Quito,105,A320
VR007,Riobamba,Quito,100,A319
VR008,Ibarra,Quito,110,B737
VR009,Tulcán,Quito,145,A320
VR010,Latacunga,Quito,95,A319
VR011,Quito,Guayaquil,125,A320
VR012,Cuenca,Guayaquil,110,A319
VR013,Manta,Guayaquil,120,B737
VR014,Portoviejo,Guayaquil,115,A320
VR015,Loja,Guayaquil,125,A319
VR016,Quito,Cuenca,120,A320
VR017,Guayaquil,Cuenca,105,A319
VR018,Manta,Cuenca,140,B737
VR019,Portoviejo,Cuenca,135,A320
VR020,Loja,Cuenca,130,A319
